"levee_id","tract_geoid","intersection_area","tract_area","weight_for_averages","weight_for_totals","has_intersection"
150005000001,"06097150100",22817.0892342055,190146294.730159,1,0.00011999754855379,TRUE
150005000002,"06097154100",330354.112278854,579644840.095409,1,0.000569925046213607,TRUE
150005000003,"06097154100",261656.070415745,579644840.095409,1,0.000451407572907362,TRUE
150005000004,"06097154100",1070466.84013403,579644840.095409,1,0.00184676333866413,TRUE
150005000005,"06097154100",218895.965521911,579644840.095409,1,0.000377638081770695,TRUE
150005000006,"06097150100",4532282.37940258,190146294.730159,1,0.0238357649084587,TRUE
150005000010,"06097150100",1898298.0712655,190146294.730159,1,0.00998335557345159,TRUE
150005000014,"06097150100",249594.100573737,190146294.730159,1,0.00131264246262564,TRUE
150005000015,"06055201200",1803876.25988995,59791310.7011664,1,0.0301695386626598,TRUE
150005000016,"06055201500",448216.283993352,133740382.43948,1,0.00335139077530438,TRUE
150005000018,"06055201102",121938.465318972,154452344.285554,1,0.000789489249146849,TRUE
150005000019,"06097154100",538065.321365235,579644840.095409,1,0.000928267249436172,TRUE
150005000020,"06097150100",630676.603295198,190146294.730159,1,0.00331679670219294,TRUE
150005000021,"06097150100",2384720.92375331,190146294.730159,1,0.0125415061447162,TRUE
150005000022,"06097150612",82728.9354767409,180736772.94464,1,0.000457731617804646,TRUE
150005000023,"06097150100",3117116.69070249,190146294.730159,1,0.016393254967845,TRUE
150005000024,"06097150100",400827.323564478,190146294.730159,1,0.00210799439522764,TRUE
150005000025,"06097150612",259452.024600784,180736772.94464,0.256473775593877,0.00143552427308335,TRUE
150005000025,"06097150100",752160.269872642,190146294.730159,0.743526224406123,0.00395569248898617,TRUE
150005000028,"06097150100",5810853.41506193,190146294.730159,1,0.0305599087445182,TRUE
150005000029,"06097154100",359118.625734874,579644840.095409,1,0.000619549422152647,TRUE
150005000031,"06055201102",132762.52745961,154452344.285554,1,0.000859569520124322,TRUE
150005000034,"06097150100",410608.912512347,190146294.730159,1,0.00215943683307135,TRUE
150005000035,"06097150100",395800.654290124,190146294.730159,1,0.00208155859598429,TRUE
150005000037,"06097150100",5593323.84240041,190146294.730159,1,0.0294158971140512,TRUE
150005000040,"06097150612",8010012.22941309,180736772.94464,1,0.0443186635398574,TRUE
