"id","name","location","counties","isFederal","authorizations","sponsors","sponsorRoleIds","femaAccreditationRatingDescription","ripStatusName","lsacRatingName","riskAssessmentDate","peopleAtRisk","structuresAtRisk","financialRisk","lastEditedDate","peopleBreakdownAm","peopleBreakdownPm","structureBreakdown","buildingBreakdown","speciesBreakdown","accredited","calculatedLengthMiles","leveeLengthInMiles"
150005000001,"Sonoma County Levee 111","Sonoma, Sonoma County, California","Sonoma County, CA",0,"Locally Constructed, Locally Operated and Maintained","Undefined",NA,"Non-Accredited Levee System","Not Enrolled","Not Screened",NA,NA,NA,NA,"12/14/2023",NA,NA,NA,NA,NA,"Non-Accredited Levee System",0.091800614217701,0.0917413848268554
150005000002,"Sonoma County Levee 36","Geyserville, Sonoma County, California","Sonoma County, CA",0,"Locally Constructed, Locally Operated and Maintained","Undefined",NA,"Non-Accredited Levee System","Not Enrolled","Not Screened",NA,0,0,0,"12/14/2023",NA,NA,NA,NA,NA,"Non-Accredited Levee System",0.532891808780156,0.532582994556591
150005000003,"Sonoma County Levee 37","Geyserville, Sonoma County, California","Sonoma County, CA",0,"Locally Constructed, Locally Operated and Maintained","Undefined",NA,"Non-Accredited Levee System","Not Enrolled","Not Screened",NA,NA,NA,NA,"12/14/2023",NA,NA,NA,NA,NA,"Non-Accredited Levee System",0.206392799606283,0.206466064125846
150005000004,"Sonoma County Levee 38","Geyserville, Sonoma County, California","Sonoma County, CA",0,"Locally Constructed, Locally Operated and Maintained","Undefined",NA,"Non-Accredited Levee System","Not Enrolled","Not Screened",NA,157,2,9501166,"12/14/2023",16,157,NA,"Industrial - 1; Residential - 1",NA,"Non-Accredited Levee System",1.47159134600548,1.47167706606674
150005000005,"Sonoma County Levee 39","Geyserville, Sonoma County, California","Sonoma County, CA",0,"Locally Constructed, Locally Operated and Maintained","Undefined",NA,"Non-Accredited Levee System","Not Enrolled","Not Screened",NA,NA,NA,NA,"12/14/2023",NA,NA,NA,NA,NA,"Non-Accredited Levee System",0.454226566934807,0.454221143323097
150005000006,"Sonoma County Levee 40","Sonoma, Sonoma County, California","Sonoma County, CA",0,"Locally Constructed, Locally Operated and Maintained","Undefined",NA,"Non-Accredited Levee System","Not Enrolled","Not Screened",NA,0,0,0,"12/14/2023",NA,NA,NA,NA,NA,"Non-Accredited Levee System",6.92337022223634,6.92551249976712
150005000010,"Sonoma County Levee 105","Temelec, Sonoma County, California","Sonoma County, CA",0,"Locally Constructed, Locally Operated and Maintained","Undefined",NA,"Non-Accredited Levee System","Not Enrolled","Not Screened",NA,0,0,0,"12/14/2023",NA,NA,"Airports - 1",NA,NA,"Non-Accredited Levee System",3.41670382253748,3.41661655876039
150005000014,"Sonoma County Levee 46","Temelec, Sonoma County, California","Sonoma County, CA",0,"Locally Constructed, Locally Operated and Maintained","Undefined",NA,"Non-Accredited Levee System","Not Enrolled","Not Screened",NA,8,4,2009015,"12/14/2023",8,6,NA,"Residential - 4",NA,"Non-Accredited Levee System",1.76151797133865,1.76130300123148
150005000015,"Napa County Levee 8","Yountville, Napa County, California","Napa County, CA",0,"Locally Constructed, Locally Operated and Maintained","Undefined",NA,"Non-Accredited Levee System","Not Enrolled","Not Screened",NA,30,18,8164118,"12/14/2023",30,16,NA,"Residential - 18",NA,"Non-Accredited Levee System",2.08676843616735,2.08650878972784
150005000016,"Napa County Levee 9","Oakville, Napa County, California","Napa County, CA",0,"Locally Constructed, Locally Operated and Maintained","Undefined",NA,"Non-Accredited Levee System","Not Enrolled","Not Screened",NA,0,0,0,"12/14/2023",NA,NA,NA,NA,NA,"Non-Accredited Levee System",1.19710933360371,1.1964085267517
150005000018,"Napa County Levee 10","Napa, Napa County, California","Napa County, CA",0,"Locally Constructed, Locally Operated and Maintained","Undefined",NA,"Non-Accredited Levee System","Not Enrolled","Not Screened",NA,7,2,3008291,"12/14/2023",0,7,NA,"Industrial - 2",NA,"Non-Accredited Levee System",0.469595010297084,0.46947827172574
150005000019,"Sonoma County Levee 48","Geyserville, Sonoma County, California","Sonoma County, CA",0,"Locally Constructed, Locally Operated and Maintained","Undefined",NA,"Non-Accredited Levee System","Not Enrolled","Not Screened",NA,NA,NA,NA,"12/14/2023",NA,NA,NA,NA,NA,"Non-Accredited Levee System",0.622726224199597,0.622177602114525
